|Type|Produit|Enseigne|Marque
0|Produit|PIZZA 4 FROMAGES AUCHAN|Simply|AUCHAN
1|Match|PIZZA 4 FROMAGES AUCHAN|Simply|AUCHAN
2|Match|Pizza aux 4 fromages|Auchan|BUITONI
3|Match|Pizza aux 4 fromages|Monoprix|Dr Oetker Ristorante
4|Match|Pizza aux 4 fromages|Monoprix|Sodebo Dolce Pizza
5|Match|Pizza 4 fromages|Auchan|AUCHAN
6|Match|Pizza aux 4 fromages|Monoprix|Sodebo Presto
7|Match|PIZZA l'EXTRA MOELLEUSE 4 FROMAGES AUCHAN|Simply|AUCHAN
8|Match|PIZZA JAMBON FROMAGES AUCHAN|Simply|AUCHAN
9|Match|La pizza 4 fromages|Auchan|SODEBO
10|Match|AMPOULE  ECOCLASSIC 53W B22 LX 2|Simply|PHILIPS
11|Produit|EPINARDS BRANCHES A LA CREME AUCHAN|Simply|AUCHAN
12|Match|EPINARDS BRANCHES A LA CREME AUCHAN|Simply|AUCHAN
13|Match|EPINARDS HACHES A LA CREME AUCHAN|Simply|AUCHAN
14|Match|EPINARDS HACHES A LA CREME FRAICHE FINDUS|Simply|Findus
15|Match|Epinards branches a la creme|Auchan|AUCHAN
16|Match|EPINARDS BRANCHES BIO AUCHAN|Simply|AUCHAN
17|Match|EPINARDS BRANCHES BIO AUCHAN|Simply|AUCHAN
18|Match|Epinards en branches a la creme fraiche|Auchan|FINDUS
19|Match|POISSON A LA BORDELAISE AUCHAN|Simply|AUCHAN
20|Match|BEIGNETS A LA ROMAINE AUCHAN|Simply|AUCHAN
21|Match|AMPOULE  ECOCLASSIC 53W B22 LX 2|Simply|PHILIPS
22|Produit|LINGETTES BEBE A L'ALOE VERA POUCE|Simply|POUCE
23|Match|LINGETTES BEBE A L'ALOE VERA POUCE|Simply|POUCE
24|Match|Lingettes bebe|Auchan|POUCE
25|Match|Lingettes epaisses sans alcool pour bebe a leau nettoyante, a laloe vera et a lextrait damande douce|Monoprix|BoutChou
26|Match|Lingettes epaisses sans alcool pour bebe a leau nettoyante, a laloe vera et a lextrait damande douce|Monoprix|BoutChou
27|Match|Lingettes epaisses sans alcool pour bebe a leau nettoyante, a laloe vera et a lextrait damande douce|Monoprix|BoutChou
28|Match|Lingettes epaisses sans alcool pour bebe a leau nettoyante, a laloe vera et a lextrait damande douce|Monoprix|BoutChou
29|Match|Lingettes sensitives a laloe vera pour les peaux sensibles|Monoprix|BoutChou
30|Match|Lingettes sensitives a laloe vera pour les peaux sensibles|Monoprix|BoutChou
31|Match|Lingettes pour bebe|Auchan|PAMPERS
32|Match|AMPOULE  ECOCLASSIC 53W B22 LX 2|Simply|PHILIPS
33|Produit|JUS D'ORANGE AVEC PULPE TROPICANA|Simply|Tropicana
34|Match|JUS D'ORANGE AVEC PULPE TROPICANA|Simply|Tropicana
35|Match|JUS D'ORANGE AVEC PULPE TROPICANA|Simply|Tropicana
36|Match|JUS D'ORANGE AVEC PULPE TROPICANA 1,75L|Simply|Tropicana
37|Match|JUS D'ORANGE AVEC PULPE TROPICANA 1,75L|Simply|Tropicana
38|Match|PUR JUS D'ORANGE AVEC PULPE TROPICANA|Simply|TROPICANA
39|Match|JUS D'ORANGE SANS PULPE TROPICANA|Simply|Tropicana
40|Match|JUS D'ORANGE SANS PULPE TROPICANA|Simply|Tropicana
41|Match|JUS D'ORANGE PULPISSIMO TROPICANA|Simply|Tropicana
42|Match|JUS D'ORANGE PULPISSIMO TROPICANA|Simply|Tropicana
43|Match|AMPOULE  ECOCLASSIC 53W B22 LX 2|Simply|PHILIPS
44|Produit|RAVIOLI BOLOGNAISE AUCHAN|Simply|AUCHAN
45|Match|RAVIOLI BOLOGNAISE AUCHAN|Simply|AUCHAN
46|Match|RAVIOLI BOLOGNAISE ZAPETTI|Simply|ZAPETTI
47|Match|RAVIOLI BOLOGNAISE ZAPETTI|Simply|ZAPETTI
48|Match|SAUCE BOLOGNAISE AUCHAN|Simply|AUCHAN
49|Match|SAUCE BOLOGNAISE AUCHAN|Simply|AUCHAN
50|Match|RAVIOLI LEGUMES AUCHAN|Simply|AUCHAN
51|Match|RAVIOLI PUR BOEUF AUCHAN|Simply|AUCHAN
52|Match|RAVIOLI PUR BOEUF AUCHAN|Simply|AUCHAN
53|Match|LASAGNES BOLOGNAISE AUCHAN|Simply|AUCHAN
54|Match|AMPOULE  ECOCLASSIC 53W B22 LX 2|Simply|PHILIPS
55|Produit|PAIN AU LAIT AUX PEPITES DE CHOCOLAT AUCHAN|Simply|AUCHAN
56|Match|PAIN AU LAIT AUX PEPITES DE CHOCOLAT AUCHAN|Simply|AUCHAN
57|Match|PAIN AU LAIT AUCHAN|Simply|AUCHAN
58|Match|BISCUITS PETIT DEJEUNER PEPITES DE CHOCOLAT LAIT AUCHAN|Simply|AUCHAN
59|Match|DOO WAP PEPITES CHOCOLAT AU LAIT HARRY'S|Simply|HARRY'S
60|Match|PAIN CHOCOLAT AUCHAN|Simply|AUCHAN
61|Match|CHOCOLAT AU LAIT DEGUSTATION AUCHAN|Simply|AUCHAN
62|Match|BRIOCHES AUX PEPITES DE CHOCOLAT RIK&ROK;|Simply|RIK&ROK;
63|Match|PAIN AU LAIT PASQUIER|Simply|Pasquier
64|Match|Pepites Chocolat au lait|Monoprix|Vahine
65|Match|AMPOULE  ECOCLASSIC 53W B22 LX 2|Simply|PHILIPS
